Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,cte
0,1.21,64.74,0,2.72,0,0,29.82,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.55,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.05,62
0,2.16,65.05,0,1.73,0,0,28.93,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.7,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.07,63
0,11.89,58.19,0,0,0.42,2.23,6.04,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,5.94,89
0,8.36,59.44,0,0,0.52,3.56,5.14,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,15.17,96
0,10.21,58.74,0,0,0.72,2.86,5.62,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,10.33,93
0,12.44,58.99,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,19.85,88.3
0,10.13,58.93,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,86
0,14.24,59.78,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,87.2
0,15.69,59.47,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87,88.5
0,9.22,61.3,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,83.9
0,11.44,61.2,0,1.56,2.17,1.33,17.36,0,1.15,2.77,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,60
