Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Nd,Sm,Eu,Gd,Dy,Er,Yb,Ta,W,Tl,Pb,Bi,ts
0,0,66.98,0,0,0,1.7,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0.93,308
0,0,67.09,0,0,0,0,0,1.52,0,0,0,19.43,0,0,0,0,0,0,1.53,0,0,0,0,0,0.74,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0.64,255
0,9.72,61.96,0,0,0,0,9.77,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,690
0,9.9,61.99,0,0,0,0,9.94,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,670
0,10.12,62.03,0,0,0,0,10.17,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,675
0,0,74.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,1.87,460
0,0,72.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,7.4,460
0,0,69.7,0,0,0,0,0,0,0,0,0,24.24,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,290
0,0,65.52,0,0,0,0,0,0,0,0,0,13.79,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,412
0,0,64.29,0,0,0,0,0,0,0,0,0,10.71,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,465
0,0,69.57,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,300
0,0,69.39,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24,300
0,0,69.09,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,280
0,0,72.73,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,280
0,0,71.43,0,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,240
0,6.1,59.65,0,0,0,1.04,13.68,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0.57,470
0,7.68,59.49,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0.92,470
0,7.42,58.78,0,0,0,1.02,12.9,0,0,0,0,0,0,0,0,0,0,1.3,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,0.88,470
0,6.77,59.03,0,0,0,2.57,12.63,0,0,0,0,0,0,0,0,0,0,0.33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,0.22,460
0,4.81,59.29,0,0,0,2.19,12.98,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0.71,465
0,7.68,59.49,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0.92,470
0,20.6,55.68,0,0,0,0.54,0.55,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0.09,354
0,0,61.97,0,6.13,0,0,22.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,573
0,0,60.91,0,8.59,0,0.14,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,563
0,0,59.86,3.05,3.12,0,0,20.93,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,532
0,5.86,60.82,0,0,0,4,8.49,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.43,511
0,17.39,62.7,0,0,0,2.5,1.59,6.73,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,548
0,13.45,60.02,0,0,0,3.34,2.12,2.4,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,524
0,19.05,60.09,0,0,0,2.74,0,3.44,0,0,0,0,0,0,0,0,0,0,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,553
0,4.75,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.43,628
0,6.54,58.28,0,0,0,4.47,1.89,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,594
0,6.81,58.94,0,0,0,4.65,1.97,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,602
0,10.42,56.96,0,3.66,0,0.11,1.04,0,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,410
0,10.4,58.32,0,2.16,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,435
0,7.93,58.65,0,1.14,0,0.11,3.91,0,0,0,0,0,0,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,444
0,9.25,58.52,0,1.76,0,0.54,4.09,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,450
0,14.07,59.6,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,486
0,13.5,58.46,0,1.85,0,0.21,2.35,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,449
0,10.34,58.79,0,0,1.44,1.02,2.03,0,0.62,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,440
0,9.57,58.92,0,0.93,0,1.01,3.15,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72,448
0,11.39,57.39,0,1.05,0,0.11,1.08,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.97,437
0,9.73,57.66,0,1.74,0,1.16,3.13,0,1.37,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,446
0,10.33,58.39,0,0,0,0.12,1.47,0,0,1.05,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,20.12,441
0,9.53,58.84,0,0.39,0,0.95,2.01,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,433
0,7.62,58.78,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,415
0,10.4,58.32,0,2.16,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,435
0.37,11.12,57.74,0,1.25,0,0.11,1.66,0,0,0.39,0,0,0,0,0,0,0,0,8.9,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,436
0,9.13,58.34,0,0,0,0.25,1.14,0,0,0,0,0,0,0,0,0,0,0,8.89,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,21.67,420
0,8.09,58.5,0,1.78,0,2.16,3.67,0,0,0.2,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,450
0,8.67,58.5,0,1.01,0,2.76,3.72,0,0,0.84,0,0,0,0,0,0,0,0,7.54,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,471
0,11.37,58.67,0,0,0,0.23,1.81,0,0,0,0,0,0,0,0,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,445
6.96,10.31,56.01,0,0,0,0.2,1.64,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,381
0,10.9,57.31,0,3.55,0,0.22,1.74,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,419
0,11.1,57.75,0,0,0,0.22,1.77,0,2.38,0,0,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51,431
3.47,10.27,55.63,0,3.35,0,0.2,1.64,0,1.1,0,0,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,387
12.74,9.43,53.8,0,0,0,0.19,1.5,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,369
0,10.47,56.05,0,6.82,0,0.21,1.67,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,394
0,10.85,56.87,0,0,0,0.22,1.73,0,4.65,0,0,0,0,0,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,438
15.27,9.05,52.83,0,0,0,0.18,1.44,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49,360
0,10.26,55.46,0,8.36,0,0.2,1.64,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,381
0,10.72,56.45,0,0,0,0.21,1.71,0,5.74,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18,437
0,9.51,58.74,0,0,0,0.49,1.35,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25,430
0,9.49,58.72,0,0,0,0.49,1.35,0,0,0.11,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,430
0,9.5,58.72,0,0,0,0.49,1.35,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,430
0,9.07,58.2,0,0,2.96,0.47,1.29,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,444
0,9.28,58.24,0,0,0,0.48,1.32,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54,437
0,9.45,58.42,0,0,0,0.49,1.34,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,431
0,8.87,57.87,0,0,2.89,0.46,1.26,0,0,1.04,0,0,0,0,0,0,0,0,7.15,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,450
0,9.22,58.18,0,0,0,0.48,1.31,0,0,1.62,0,0,0,0,0,0,0,0,7.44,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39,439
0,8.8,57.8,0,0,4.3,0.45,1.25,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,450
0,9.25,58.21,0,0,0,0.48,1.31,0,0,1.63,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,437
